"root","ruid","session","maxdiam","rightcens","co2treat","ntreat","agedays","ageyears","sessdead"
2.1,"1-3-1-2.1-19",19,0.00029940119760479,FALSE,"AMBIENT",0,288,0.788501026694045,19
3.1,"1-3-1-3.1-21",21,0.00029940119760479,FALSE,"AMBIENT",0,350,0.958247775496235,21
4.1,"1-3-1-4.1-22",22,0.00029940119760479,FALSE,"AMBIENT",0,277,0.758384668035592,22
1,"1-3-3-1-104",104,0.000289473684210526,TRUE,"AMBIENT",0,582,1.59342915811088,NA
1.1,"1-3-3-1.1-21",21,0.000449101796407186,FALSE,"AMBIENT",0,186,0.509240246406571,21
2.1,"1-3-3-2.1-35",35,0.00029940119760479,FALSE,"AMBIENT",0,206,0.563997262149213,35
3.1,"1-3-3-3.1-34",34,0.000329341317365269,FALSE,"AMBIENT",0,175,0.479123887748118,34
4.1,"1-3-3-4.1-35",35,0.000389221556886228,FALSE,"AMBIENT",0,206,0.563997262149213,35
1,"1-3-4-1-104",104,0.000526315789473684,TRUE,"AMBIENT",0,329,0.900752908966461,NA
1,"1-3-5-1-71",71,0.000342105263157895,FALSE,"AMBIENT",0,330,0.903490759753593,71
1.1,"1-3-5-1.1-52",52,0.000389221556886228,FALSE,"AMBIENT",0,92,0.251882272416153,52
2,"1-3-5-2-104",104,0.000263157894736842,TRUE,"AMBIENT",0,582,1.59342915811088,NA
3,"1-3-5-3-104",104,0.000973684210526316,TRUE,"AMBIENT",0,59,0.161533196440794,NA
1.1,"1-3-7-1.1-60",60,0.000329341317365269,FALSE,"AMBIENT",0,511,1.3990417522245,60
1.1,"1-3-9-1.1-21",21,0.000359281437125748,FALSE,"AMBIENT",0,350,0.958247775496235,21
1.1,"1-3-11-1.1-33",33,0.000389221556886228,FALSE,"AMBIENT",0,1072,2.93497604380561,33
2.1,"1-3-11-2.1-7",7,0.000269461077844311,FALSE,"AMBIENT",0,163,0.446269678302533,7
3.1,"1-3-11-3.1-22",22,0.000359281437125748,FALSE,"AMBIENT",0,444,1.21560574948665,22
4.1,"1-3-11-4.1-31",31,0.000329341317365269,FALSE,"AMBIENT",0,730,1.99863107460643,31
5.1,"1-3-11-5.1-15",15,0.000359281437125748,FALSE,"AMBIENT",0,164,0.449007529089665,15
6.1,"1-3-11-6.1-31",31,0.000329341317365269,FALSE,"AMBIENT",0,259,0.709103353867214,31
7.1,"1-3-11-7.1-31",31,0.000329341317365269,FALSE,"AMBIENT",0,231,0.632443531827515,31
8.1,"1-3-11-8.1-50",50,0.000329341317365269,FALSE,"AMBIENT",0,166,0.454483230663929,50
1,"1-3-14-1-75",75,0.000263157894736842,FALSE,"AMBIENT",0,450,1.23203285420945,75
1.1,"1-3-15-1.1-25",25,0.000269461077844311,FALSE,"AMBIENT",0,35,0.0958247775496235,25
2.1,"1-3-15-2.1-50",50,0.000239520958083832,FALSE,"AMBIENT",0,166,0.454483230663929,50
1,"1-3-19-1-82",82,0.000289473684210526,FALSE,"AMBIENT",0,988,2.70499657768652,82
1.1,"1-3-19-1.1-59",59,0.000269461077844311,FALSE,"AMBIENT",0,191,0.522929500342231,59
1,"1-3-29-1-104",104,0.000236842105263158,TRUE,"AMBIENT",0,1490,4.07939767282683,NA
1,"1-3-31-1-104",104,0.000263157894736842,TRUE,"AMBIENT",0,1057,2.89390828199863,NA
1,"1-3-32-1-104",104,0.000236842105263158,TRUE,"AMBIENT",0,1327,3.6331279945243,NA
1,"1-3-34-1-82",82,0.000263157894736842,FALSE,"AMBIENT",0,634,1.73579739904175,82
2,"1-3-34-2-104",104,0.000236842105263158,TRUE,"AMBIENT",0,1327,3.6331279945243,NA
3,"1-3-34-3-104",104,0.000289473684210526,TRUE,"AMBIENT",0,1327,3.6331279945243,NA
1,"1-3-35-1-79",79,0.000289473684210526,FALSE,"AMBIENT",0,548,1.50034223134839,79
2,"1-3-35-2-89",89,0.000289473684210526,FALSE,"AMBIENT",0,865,2.36824093086927,89
3,"1-3-35-3-104",104,0.000236842105263158,TRUE,"AMBIENT",0,1100,3.01163586584531,NA
4,"1-3-35-4-104",104,0.000210526315789474,TRUE,"AMBIENT",0,1100,3.01163586584531,NA
5,"1-3-35-5-104",104,0.000210526315789474,TRUE,"AMBIENT",0,997,2.7296372347707,NA
6,"1-3-35-6-104",104,0.000210526315789474,TRUE,"AMBIENT",0,29,0.0793976728268309,NA
1,"1-3-36-1-104",104,0.000263157894736842,TRUE,"AMBIENT",0,1100,3.01163586584531,NA
2,"1-3-36-2-104",104,0.000236842105263158,TRUE,"AMBIENT",0,1100,3.01163586584531,NA
1.1,"1-4-1-1.1-9",9,0.000389221556886228,FALSE,"AMBIENT",1,274,0.750171115674196,9
2.1,"1-4-1-2.1-9",9,0.000359281437125748,FALSE,"AMBIENT",1,274,0.750171115674196,9
3.1,"1-4-1-3.1-23",23,0.000269461077844311,FALSE,"AMBIENT",1,507,1.38809034907598,23
4.1,"1-4-1-4.1-23",23,0.00029940119760479,FALSE,"AMBIENT",1,471,1.28952772073922,23
5.1,"1-4-1-5.1-57",57,0.000778443113772455,FALSE,"AMBIENT",1,225,0.616016427104723,57
1.1,"1-4-3-1.1-9",9,0.000359281437125748,FALSE,"AMBIENT",1,233,0.63791923340178,9
2.1,"1-4-3-2.1-9",9,0.000239520958083832,FALSE,"AMBIENT",1,156,0.427104722792608,9
3.1,"1-4-3-3.1-9",9,0.000269461077844311,FALSE,"AMBIENT",1,156,0.427104722792608,9
4.1,"1-4-3-4.1-9",9,0.000269461077844311,FALSE,"AMBIENT",1,156,0.427104722792608,9
5.1,"1-4-3-5.1-61",61,0.000449101796407186,TRUE,"AMBIENT",1,1935,5.29774127310062,NA
6.1,"1-4-3-6.1-21",21,0.000329341317365269,FALSE,"AMBIENT",1,451,1.23477070499658,21
7.1,"1-4-3-7.1-36",36,0.000538922155688623,FALSE,"AMBIENT",1,223,0.610540725530459,36
8.1,"1-4-3-8.1-58",58,0.000359281437125748,FALSE,"AMBIENT",1,57,0.15605749486653,58
9.1,"1-4-3-9.1-58",58,0.000239520958083832,FALSE,"AMBIENT",1,57,0.15605749486653,58
1.1,"1-4-5-1.1-31",31,0.000269461077844311,FALSE,"AMBIENT",1,927,2.53798767967146,31
2.1,"1-4-5-2.1-10",10,0.000269461077844311,FALSE,"AMBIENT",1,190,0.520191649555099,10
1.1,"1-4-7-1.1-14",14,0.000419161676646707,FALSE,"AMBIENT",1,441,1.20739219712526,14
1,"1-4-8-1-73",73,0.000236842105263158,FALSE,"AMBIENT",1,387,1.05954825462012,73
1.1,"1-4-9-1.1-24",24,0.000269461077844311,FALSE,"AMBIENT",1,773,2.11635865845311,24
1,"1-4-10-1-73",73,0.000236842105263158,FALSE,"AMBIENT",1,85,0.232717316906229,73
1.1,"1-4-13-1.1-23",23,0.000269461077844311,FALSE,"AMBIENT",1,406,1.11156741957563,23
1.1,"1-4-15-1.1-17",17,0.000359281437125748,FALSE,"AMBIENT",1,113,0.309377138945927,17
2.1,"1-4-15-2.1-22",22,0.000359281437125748,FALSE,"AMBIENT",1,164,0.449007529089665,22
3,"1-4-16-3-104",104,0.000447368421052632,TRUE,"AMBIENT",1,779,2.13278576317591,NA
1,"1-4-21-1-104",104,0.000289473684210526,TRUE,"AMBIENT",1,751,2.05612594113621,NA
1.1,"1-4-21-1.1-31",31,0.000419161676646707,FALSE,"AMBIENT",1,450,1.23203285420945,31
1,"1-4-22-1-104",104,0.000289473684210526,TRUE,"AMBIENT",1,1057,2.89390828199863,NA
2,"1-4-22-2-104",104,0.000684210526315789,TRUE,"AMBIENT",1,80,0.219028062970568,NA
3,"1-4-22-3-104",104,0.000184210526315789,TRUE,"AMBIENT",1,80,0.219028062970568,NA
1.1,"1-4-23-1.1-21",21,0.000359281437125748,FALSE,"AMBIENT",1,350,0.958247775496235,21
1,"1-4-24-1-104",104,0.000657894736842105,TRUE,"AMBIENT",1,59,0.161533196440794,NA
1,"1-4-25-1-104",104,0.000894736842105263,TRUE,"AMBIENT",1,59,0.161533196440794,NA
1.1,"1-4-25-1.1-57",57,0.000359281437125748,FALSE,"AMBIENT",1,455,1.24572210814511,57
1.1,"1-4-33-1.1-45",45,0.000419161676646707,FALSE,"AMBIENT",1,322,0.881587953456537,45
1,"1-4-34-1-77",77,0.000263157894736842,FALSE,"AMBIENT",1,493,1.34976043805613,77
1,"1-4-35-1-82",82,0.000315789473684211,FALSE,"AMBIENT",1,634,1.73579739904175,82
2,"1-4-35-2-79",79,0.000236842105263158,FALSE,"AMBIENT",1,548,1.50034223134839,79
1,"1-5-1-1-102",102,0.000289473684210526,FALSE,"AMBIENT",1,1318,3.60848733744011,102
1.1,"1-5-1-1.1-22",22,0.000389221556886228,FALSE,"AMBIENT",1,379,1.03764544832307,22
2,"1-5-1-2-104",104,0.000184210526315789,TRUE,"AMBIENT",1,29,0.0793976728268309,NA
1.1,"1-5-3-1.1-6",6,0.000479041916167665,FALSE,"AMBIENT",1,176,0.48186173853525,6
2.1,"1-5-3-2.1-59",59,0.000239520958083832,FALSE,"AMBIENT",1,85,0.232717316906229,59
3.1,"1-5-3-3.1-59",59,0.000269461077844311,FALSE,"AMBIENT",1,85,0.232717316906229,59
1,"1-5-4-1-104",104,0.00173684210526316,TRUE,"AMBIENT",1,1327,3.6331279945243,NA
1.1,"1-5-5-1.1-11",11,0.000449101796407186,FALSE,"AMBIENT",1,339,0.928131416837782,11
2.1,"1-5-5-2.1-61",61,0.000808383233532934,TRUE,"AMBIENT",1,2055,5.62628336755647,NA
3.1,"1-5-5-3.1-11",11,0.000329341317365269,FALSE,"AMBIENT",1,163,0.446269678302533,11
4.1,"1-5-5-4.1-56",56,0.000389221556886228,FALSE,"AMBIENT",1,903,2.47227926078029,56
5.1,"1-5-5-5.1-61",61,0.000269461077844311,TRUE,"AMBIENT",1,198,0.542094455852156,NA
6.1,"1-5-5-6.1-61",61,0.000239520958083832,TRUE,"AMBIENT",1,198,0.542094455852156,NA
7.1,"1-5-5-7.1-61",61,0.000209580838323353,TRUE,"AMBIENT",1,198,0.542094455852156,NA
1,"1-5-6-1-79",79,0.000236842105263158,FALSE,"AMBIENT",1,161,0.440793976728268,79
2,"1-5-6-2-79",79,0.000263157894736842,FALSE,"AMBIENT",1,161,0.440793976728268,79
1,"1-5-7-1-75",75,0.000342105263157895,FALSE,"AMBIENT",1,223,0.610540725530459,75
1.1,"1-5-7-1.1-21",21,0.000269461077844311,FALSE,"AMBIENT",1,689,1.88637919233402,21
2,"1-5-7-2-75",75,0.000236842105263158,FALSE,"AMBIENT",1,148,0.405201916495551,75
2.1,"1-5-7-2.1-56",56,0.000449101796407186,FALSE,"AMBIENT",1,453,1.24024640657084,56
3,"1-5-7-3-104",104,0.000394736842105263,TRUE,"AMBIENT",1,29,0.0793976728268309,NA
3.1,"1-5-7-3.1-59",59,0.000239520958083832,FALSE,"AMBIENT",1,55,0.150581793292266,59
